Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
LGOIR-FIX1 Desormeau tekgc120200,VIS AUTOPERCEUSE T.GAUFREE CARREE ZINC 12-24 UNC X 2 (SEE THROUGH),FINITINON/ASSEMBLAGE,8438,,,3000,2.81266667,E4C,XX,,,N/A,,
18-VDOS-112-15-ZC / Desormeau TEKHR120150,"VIS DE DOS AUTOPERCEUSES T. HEX, ZINC 12-14X1 1/2",ASSEMBLAGE,12997,,,2500,5.1988,E3C,XX,,,N/A,,
18-VCMC-124-15-XX,"VIS CMC NATUREL 10-24 X 1  1/2""",CHANTIER,2638,,,3000,0.87933333,BOX 19,XX,,,N/A,,
18-VCMC-124-15-02,"VIS CMC BRONZE 10-24 X 1 1/2""",CHANTIER,4705,,,2500,1.882,E3R,XX,,,N/A,,
18-VRTC-5558-832-XX,"  VIS PAN COURT TEMPORAIRE POUR ROSETTES 8-32X5/8"" STAINLESS STEEL BQC4555",EXTRUSION,8713,,,4000,2.17825,BOX 30,XX,,,N/A,,
18-VRTL-6034-832-XX," VIS PAN LONG TEMPORAIRE POUR ROSETTES 8-32X3/4"" STAINLESS STEEL BQC4560",EXTRUSION,44000,,,4000,11,BOX 31,XX,,,N/A,,
18-VTRX-832-12-XX,"VIS TORX NATUREL 8-32 X 1/2""",CHANTIER,2811,,,10000,0.2811,BOX 19,XX,,,N/A,,
18-VTRX-124-15-XX,"VIS TORX NATUREL 10-24 X 1 1/2""",CHANTIER,0,,,4500,0,BOX 19,XX,,,N/A,,
18-VTRX-124-15-NO,"VIS TORX NOIR 10-24 X 1 1/2""",CHANTIER,82606,,,4450,18.5631461,"E2R,BOX 12, BOX 20, BOX 21, BOX 25",XX,,,N/A,,
18-VTRX-124-78-NO,"VIS TORX NOIR 10-24 X 7/8""",CHANTIER,97822,,,4000,24.4555,"E2R, BOX 20",XX,,,N/A,,
18-VTRX-832-12-NO,"VIS TORX NOIR 8-32 X 1/2""",CHANTIER,123762,,,15000,8.2508,"E2R,BOX 21",XX,,,N/A,,
LGOIR-BETON/MARBLE4,"WEDGE BOLTS 1/2X7""",CHANTIER,6,,,1,6,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE5,"WEDGE BOLTS 1/2X6""",CHANTIER,8,,,1,8,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE6,"WEDGE BOLTS 1/2X4""",CHANTIER,8,,,1,8,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE7,"WEDGE BOLTS 5/8""X6""",CHANTIER,12,,,1,12,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE8,"WEDGE BOLTS 10XKB3/4""X4 3/4""",CHANTIER,42,,,1,42,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE9,"WEDGE BOLTS 1/2""X4 1/2""",CHANTIER,100,,,1,100,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE10,"WEDGE BOLTS 3/8"" X3 3/4",CHANTIER,325,,,50,6.5,E2R,XX,,,N/A,,
LGOIR-SECURITY1,KEYS # 088,CHANTIER/USINE,11813,,,1,11813,TANK BLEU A COTE DE LA PORTE D'ENTRÉE,XX,,,N/A,,
18-ROSE-FCI-10-41,ROSETTE FLORALE CARRE INTERIEUR 1 PATTE FINI ANTIQUE BRONZE,CHANTIER/USINE,3550,,,450,7.88888889,"E2L,BOX 12(450)",XX,,,N/A,,
18-ROSE-FCI-00-41,ROSETTE FLORALE CARRE INTERIEUR 0 PATTE FINI ANTIQUE BRONZE,CHANTIER/USINE,877,,,450,1.94888889,E3L,XX,,,N/A,,
18-ROSE-FCI-20-41,ROSETTE FLORALE CARRE INTERIEUR 2 PATTES FINI ANTIQUE BRONZE,CHANTIER/USINE,1565,,,450,3.47777778,"E2L, BOX 51",XX,,,N/A,,
18-ROSE-FCI-30-41,ROSETTE FLORAL CARRE INTERIEUR 3 PATTES FINI ANTIQUE BRONZE,CHANTIER/USINE,4345,,,450,9.65555556,"E2L, BOX 34(900)",XX,,,N/A,,
18-ROSE-FCI-40-41,ROSETTE FLORAL CARRE INTERIEUR 4 PATTES FINI ANTIQUE BRONZE,CHANTIER/USINE,6584,,,450,14.6311111,E2L,XX,,,DECOSPEC,46093,
18-ROSE-SUP-M1-40,SUPPORT ROSETTE EXTERIEURS MACHINE T1 FINI NATUREL,CHANTIER/USINE,257,,,450,0.57111111,E3L,XX,,,N/A,,
18-ROSE-FRE-00-41 (BJ1127),"ROSETTE BJ1127 ANTIC BRASS ROSETTE FLORALE RONDE ALUMINIUM 3,5CM (JORDA)",CHANTIER,5111,,,1000,5.111,BOX 33,XX,,,N/A,,
18-ROSE-FCI-05-41,ROSETTE FLORAL CARRE INTERIEUR ANTIQUE BRONZE 0 PATTES AVEC CLE,CHANTIER,4114,,,450,9.14222222,"E3L, BOX 12(450)",XX,,,N/A,,
LGOIR-TOOL5,TAPE A MESURER DEWALT 16',USINE,6,,,1,6,ARMOIRE AVEC CLE T2,XX,,,N/A,,
LGOIR-LITTLE PIECE6,"ZINC-PLATED STEEL COUPLING NUT,LOW STREGHT, 10-32 X 5/16 X 3/4L THREAD SIZE",FINITION,160,,,10,16,ARMOIRE WITH LOCK,XX,,,N/A,,
LGOIR-TAPE2,RED TUCK TAPE,CRATAGE,14,,,1,14,E5L,XX,,,N/A,,
18-TRAM-24V-5A-SE,Transformateur 120 W 24 Volts DC - 5 Ampères 4 SORTIES MOLEX (SEP),CHANTIER/ELECTRIQUE,49,,,1,49,ARMOIRE DU M. ELCTRIQUE,XX,,,SEP,46119,
18-RLED-200-03-SE,RONDELLE ELECTRIQUE,CHANTIER/ELECTRIQUE,15,,,1,15,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-TAPE3,WHITE MASKING TAPE,USINE,38,,,1,38,E5L,XX,,,N/A,,
LGOIR-BETON11,"ZINC PIN DRIVE ANCHOR 1/4""X2""",CHANTIER,1399,,,100,13.99,CONTAINEUR CHANTIER,XX,,,N/A,,
18-ROSE-FCI-20-43,ROSETTE FLORALE CARRE INTERIEUR 2 PATTES GOLD,CHANTIER,73,,,100,0.73,BOX 12,XX,,,N/A,,
