Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-SPARES/CARPENTEER6,"16 GAUGE GALV CHISEL POINT MEDIUM CROWN STAPLES 7/16""(11mm) 1-1/2"" LENGTH(38mm).",CRATAGE,60000,0,0,10000,6,"G,CRATAGE",XX,0,,N/A,,,1469,5,100,0,,[]
LGOIR-TAPE10,ACRYLIC ADHESIVE TAPE( BOXING TAPE),USINE,148,0,0,36,4.11111111,J,XX,0,,N/A,,,1470,5,100,0,,[]
18-ROSE-SUP-T1-40,SUPPORT  ROSETTE EXTERIEURE T1 FINI NATUREL,CHANTIER/USINE,13093,0,0,1,13093,E1R,XX,0,,N/A,,,1471,5,100,0,,[]
18-ROSE-SUP-T4-40,ROSETTE SUPPORT ALUMINIUM(EXTRUSION MACHINEE),CHANTIER/USINE,1207,0,0,1,1207,"E3R, BOX 18 BIN 2(411)",XX,0,,N/A,,,1472,5,100,0,,[]
LGOIR-TOOL26,MINI BOLT CUTTER/MINI COUPE-BOULON,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1473,5,100,0,,[]
LGOIR-WIRE9,YELLOW JACKET EXTENSION DE COURANT DE 6 PRISES,ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1474,5,100,0,,[]
LGOIR-SPARE2,FILTRE POUR ASPIRATEURS,USINE,9,0,0,2,4.5,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1475,5,100,0,,[]
LGOIR-WIRE10,"CONNECTEUR VERTICAL MOLEX 10 SORTTIES @ 14""",ELECTRIC,9,0,0,1,9,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1476,5,100,0,,[]
LGOIR-PACKING4,ROULEAUX DE CARTON ONDULE/CORRUGATED CARDBOARD ROLL,USINE,2,0,0,1,2,"CONTAINER DU FOND, CRATAGE",XX,0,,ULINE,46086,,1477,5,100,0,,[]
LGOIR-INK,TOUCH UP LIGHT BRONZE,USINE,10,0,0,1,10,KEITH'S OFFICE,XX,0,,N/A,,,1478,5,100,0,,[]
FD-12S-18-MF-05/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 5 SORTIES @ 12""",ELECTRIQUE,2,0,0,1,2,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1479,5,100,0,,[]
LGOIR-LIQUID14,CLAIRE DUST UP( DUST MOP TREATMENT /TRAITEMENT POUR VADROUILLES,USINE,7,0,0,1,7,ARMOIRE SANS CLE,XX,0,,N/A,,,1480,5,100,0,,[]
LGOIR-PASTE20,KWIK SEAL ADHESIVE CAULK/CALFEURANT ADHESIF WHITE/BLANC,USINE,2,0,0,1,2,ARMOIRE SANS CLE,XX,0,,N/A,,,1481,5,100,0,,[]
LGOIR-LIQUID 15,JIG-A -LOO LUBRIFIANT TOUT USAGE/ ALL AROUND LUBRIFIANT,USINE/CHANTIER,13,0,0,1,13,"ETOPC,ARMOIRE SANS CLE",XX,0,,N/A,,,1482,5,100,0,,[]
